"","Age","lam_hat","Est_Var","CI_lower","CI_upper","cat"
"553",55,0.0050314465408805,0.103346696091902,0.00189305893637797,0.0133727766247864,"subprime"
"563",56,0,0,NA,NA,"subprime"
"573",57,0.00628930817610063,0.64510026795672,0.000891419825791758,0.0443734772208294,"subprime"
"583",58,0,0,NA,NA,"subprime"
"593",59,0,0,NA,NA,"subprime"
"603",60,0,0,NA,NA,"subprime"
"613",61,0,0,NA,NA,"subprime"
"622",62,0,0,NA,NA,"subprime"
"632",63,0,0,NA,NA,"subprime"
"642",64,0,0,NA,NA,"subprime"
"652",65,0,0,NA,NA,"subprime"
"662",66,0,0,NA,NA,"subprime"
"672",67,0,0,NA,NA,"subprime"
"682",68,0,0,NA,NA,"subprime"
"692",69,0,0,NA,NA,"subprime"
"104",10,0,0,NA,NA,"super_prime"
"114",11,0,0,NA,NA,"super_prime"
"124",12,0,0,NA,NA,"super_prime"
"134",13,0,0,NA,NA,"super_prime"
"144",14,0,0,NA,NA,"super_prime"
"154",15,0.00162337662337662,0.0431811781678433,0.000229038734587801,0.0115061396320955,"super_prime"
"164",16,0,0,NA,NA,"super_prime"
"174",17,0.00153609831029186,0.0386662361687006,0.00021670627353221,0.0108884619739944,"super_prime"
"184",18,0.00153609831029186,0.0386662361687006,0.00021670627353221,0.0108884619739944,"super_prime"
"194",19,0.00150829562594268,0.0372802582806955,0.000212778186159771,0.0106916772639918,"super_prime"
"204",20,0.00153609831029186,0.0386662361687006,0.00021670627353221,0.0108884619739944,"super_prime"
"214",21,0,0,NA,NA,"super_prime"
"224",22,0,0,NA,NA,"super_prime"
"234",23,0,0,NA,NA,"super_prime"
"244",24,0,0,NA,NA,"super_prime"
"254",25,0.00165016501650165,0.044616860797278,0.000232824368726672,0.0116957026301773,"super_prime"
"264",26,0,0,NA,NA,"super_prime"
"274",27,0,0,NA,NA,"super_prime"
"284",28,0,0,NA,NA,"super_prime"
"294",29,0.00175438596491228,0.0504253832488269,0.000247554369832708,0.0124331075874813,"super_prime"
"304",30,0,0,NA,NA,"super_prime"
"314",31,0,0,NA,NA,"super_prime"
"324",32,0,0,NA,NA,"super_prime"
"334",33,0,0,NA,NA,"super_prime"
"344",34,0,0,NA,NA,"super_prime"
"354",35,0,0,NA,NA,"super_prime"
"364",36,0,0,NA,NA,"super_prime"
"374",37,0.00392927308447937,0.12619615309604,0.00098538396248211,0.0156681938820314,"super_prime"
"384",38,0,0,NA,NA,"super_prime"
"394",39,0,0,NA,NA,"super_prime"
"404",40,0.00418410041841004,0.143058862274234,0.00104947529715364,0.0166813800751864,"super_prime"
"414",41,0.00432900432900433,0.153116999128131,0.00108593002910292,0.0172573535847604,"super_prime"
"424",42,0,0,NA,NA,"super_prime"
"434",43,0.00675675675675676,0.248068969261446,0.00218755979880216,0.020869720633455,"super_prime"
"444",44,0.00465116279069767,0.176697297093338,0.00116700450673264,0.0185374736607824,"super_prime"
"454",45,0.00488997555012225,0.195261215813767,0.0012271275949165,0.0194860428368253,"super_prime"
"464",46,0.0101781170483461,0.420720282889563,0.00383917683105935,0.0269834058727761,"super_prime"
"474",47,0.0026525198938992,0.11516627038466,0.000374616386763705,0.0187815109966586,"super_prime"
"484",48,0.00552486187845304,0.249096882983591,0.00138706248330024,0.0220062896542033,"super_prime"
"494",49,0.0029673590504451,0.144082449464767,0.000419210743791359,0.0210042797439391,"super_prime"
"504",50,0.0131578947368421,0.701006433153521,0.00497044088345485,0.0348319591692796,"super_prime"
"514",51,0,0,NA,NA,"super_prime"
"524",52,0.00401606425702811,0.263642334049671,0.000567949954771299,0.0283982276626353,"super_prime"
"534",53,0.00909090909090909,0.67201652892562,0.00228801592636348,0.0361206524600233,"super_prime"
"544",54,0,0,NA,NA,"super_prime"
"554",55,0,0,NA,NA,"super_prime"
"564",56,0,0,NA,NA,"super_prime"
"574",57,0,0,NA,NA,"super_prime"
"584",58,0,0,NA,NA,"super_prime"
"594",59,0,0,NA,NA,"super_prime"
"604",60,0,0,NA,NA,"super_prime"
"614",61,0,0,NA,NA,"super_prime"
"623",62,0,0,NA,NA,"super_prime"
"633",63,0,0,NA,NA,"super_prime"
"643",64,0,0,NA,NA,"super_prime"
"653",65,0,0,NA,NA,"super_prime"
"663",66,0,0,NA,NA,"super_prime"
"673",67,0,0,NA,NA,"super_prime"
"683",68,0,0,NA,NA,"super_prime"
"693",69,0,0,NA,NA,"super_prime"
"702",70,0,0,NA,NA,"super_prime"
